,SalePrice
0,124165.74746347404
1,146515.26851803745
2,184889.0242857143
3,182950.78910091988
4,183860.96870752162
5,188166.06485957786
6,170303.20076388883
7,174670.95687770573
8,186498.93610164148
9,122804.04217983398
10,193914.38410822512
11,90766.46195842353
12,95207.2336976912
13,151918.15695652962
14,115671.77712698413
15,369266.7176093074
16,245317.69100189395
17,300423.1654466991
18,318050.44076533185
19,452465.52499440865
20,311260.86032476556
21,198760.05852200591
22,188867.82394246035
23,165463.3878386544
24,171139.50101019122
25,204556.9623172801
26,337959.765313492
27,238555.19209244224
28,201516.16811967897
29,222107.98944733047
30,188478.3104235209
31,101388.18585732326
32,184365.22151930013
33,291534.4806824079
34,259694.11410777416
35,234492.8976087663
36,187716.04301461036
37,150984.26264502847
38,151333.48715062017
39,159412.38991856758
40,174007.38145436515
41,147899.46923169878
42,270035.1268899711
43,224782.22268326127
44,218705.0929015152
45,173899.70216257364
46,270774.26413771656
47,203250.42899404757
48,153539.8765501443
49,149482.04242442286
50,148647.058916306
51,172725.74675318427
52,143188.9086706349
53,166341.6832288059
54,220802.016067821
55,160932.24922438664
56,149030.3325554654
57,140040.34970734123
58,230801.9731448413
59,135953.8276501623
60,141791.57647456706
61,166343.98894570704
62,115126.96100172747
63,121384.59780969024
64,121866.84853969648
65,130667.45927274114
66,120072.18343885278
67,123695.6165782828
68,134802.6928352273
69,155806.0987718254
70,154878.76269860697
71,100350.6940234488
72,143656.9402441448
73,125327.37580717892
74,156071.00527849933
75,123295.55248124099
76,120266.9621102092
77,128652.12207536213
78,192292.22098042927
79,145442.1221670274
80,143647.3748519119
81,136971.430412969
82,182782.01336805552
83,86941.69241017323
84,107874.74246284277
85,124545.05697510824
86,136302.25784416974
87,126616.7144190115
88,114797.6506845238
89,146764.80980898265
90,121363.45739583338
91,163666.39072073766
92,140403.9479724928
93,110157.82895869411
94,174688.44258118264
95,104563.72971668608
96,113453.62466810964
97,86984.05364682538
98,123715.94685903682
99,149072.36101966086
100,161729.68940472722
101,129031.52501172444
102,118333.20156538599
103,163871.08390043292
104,166932.8198556999
105,198978.8630932539
106,87320.25924206348
107,226858.19713564203
108,164649.31662301588
109,139079.7504540945
110,141461.48248412702
111,135346.70559128377
112,252631.86728012253
113,146185.61606462978
114,201686.62319678935
115,235399.13010317474
116,200646.84480916307
117,143025.5630966811
118,147400.56092442278
119,188080.74968749992
120,139777.45312184343
121,123023.03811237369
122,323235.06352263724
123,241801.29021464637
124,138891.19585317463
125,91068.45240999275
126,110625.5463098706
127,141313.79220095192
128,108401.87665043293
129,132107.04594805188
130,100776.32049963923
131,130133.71406583699
132,115055.84794318186
133,163401.9142321428
134,148947.57536904755
135,200611.91132900427
136,190681.4225964105
137,184830.3072966269
138,156222.86803066373
139,177029.89386408732
140,89368.87286796533
141,114407.56627182543
142,108724.22339249637
143,275402.408712482
144,248524.45788005053
145,166557.24886057
146,209941.38235615075
147,222928.91420815312
148,192615.50694561691
149,170336.07244507578
150,162727.27454401154
151,207547.20867757936
152,195520.55061850656
153,117148.90278174603
154,87448.85970887449
155,87322.6161572872
156,91801.04340683622
157,126286.65811327565
158,141525.4913009561
159,212199.98170634915
160,152257.8544806998
161,135275.39445959596
162,257376.30158919547
163,226024.968883436
164,118300.69236237371
165,173762.06727110394
166,179597.23437094153
167,257031.57481394286
168,172103.5555251624
169,307503.65603409085
170,192113.5366988637
171,231195.69106881312
172,165177.19124738462
173,182052.45433621935
174,181953.8633344156
